Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
10 3 -5.8732395 0.0 -9.91375 10.8541 -36.9545 225.358 -1887.31 225.905 -1923.78 0.0 225.905 -1923.78 83.023 -9.91375 -1624.7657 59.9206 59.9206
10 4 -6.070919 0.0 -14.5681 10.8391 -37.5194 225.358 -1887.31 225.508 -1919.79 0.0 225.508 -1919.79 84.1881 -14.5681 -1624.6621 58.4942 58.4942
10 5 -5.888741 0.0 -10.7785 10.8137 -36.8666 225.358 -1887.31 225.322 -1921.77 0.0 225.322 -1921.77 83.945 -10.7785 -1623.2815 58.6525 58.6525
10 6 -5.8034577 0.0 -11.9216 10.8482 -37.1236 225.358 -1887.31 225.307 -1918.79 0.0 225.307 -1918.79 83.2984 -11.9216 -1622.1062 59.5164 59.5164
10 7 -5.779975 0.0 -12.4417 10.8631 -37.4005 225.358 -1887.31 225.29 -1917.83 0.0 225.29 -1917.83 83.1023 -12.4417 -1621.8793 59.419 59.419
11 0 -5.7063947 0.0 -5.50764 10.832 -36.2429 225.358 -1887.31 226.308 -1927.81 0.0 226.308 -1927.81 82.2398 -5.50764 -1624.7699 61.9981 61.9981
11 1 -5.7063947 0.0 -5.50764 10.832 -36.2429 225.358 -1887.31 226.308 -1927.81 0.0 226.308 -1927.81 82.2398 -5.50764 -1624.7699 61.9981 61.9981
11 2 -5.6870837 0.0 -6.09077 10.8256 -36.2758 225.358 -1887.31 226.123 -1926.35 0.0 226.123 -1926.35 81.8698 -6.09077 -1624.4479 61.4669 61.4669
11 3 -5.6870837 0.0 -6.09077 10.8256 -36.2758 225.358 -1887.31 226.123 -1926.35 0.0 226.123 -1926.35 81.8698 -6.09077 -1624.4479 61.4669 61.4669
11 4 -5.6870837 0.0 -6.09077 10.8256 -36.2758 225.358 -1887.31 226.123 -1926.35 0.0 226.123 -1926.35 81.8698 -6.09077 -1624.4479 61.4669 61.4669
11 5 -5.6870837 0.0 -6.09077 10.8256 -36.2758 225.358 -1887.31 226.123 -1926.35 0.0 226.123 -1926.35 81.8698 -6.09077 -1624.4479 61.4669 61.4669
11 6 -5.6711617 0.0 -6.16266 10.824 -36.1705 225.358 -1887.31 226.061 -1925.78 0.0 226.061 -1925.78 81.8496 -6.16266 -1624.0321 61.438 61.438
11 7 -5.6711617 0.0 -6.16266 10.824 -36.1705 225.358 -1887.31 226.061 -1925.78 0.0 226.061 -1925.78 81.8496 -6.16266 -1624.0321 61.438 61.438
11 8 -5.5664315 0.0 -10.4451 10.8521 -37.7221 225.358 -1887.31 225.377 -1917.9 0.0 225.377 -1917.9 84.068 -10.4451 -1618.9001 60.301 60.301
11 9 -5.59085 0.0 -11.1386 10.8536 -37.9392 225.358 -1887.31 225.337 -1917.38 0.0 225.337 -1917.38 84.6656 -11.1386 -1618.516 60.4068 60.4068
11 10 -5.59085 0.0 -11.1386 10.8536 -37.9392 225.358 -1887.31 225.337 -1917.38 0.0 225.337 -1917.38 84.6656 -11.1386 -1618.516 60.4068 60.4068
11 11 -5.59085 0.0 -11.1386 10.8536 -37.9392 225.358 -1887.31 225.337 -1917.38 0.0 225.337 -1917.38 84.6656 -11.1386 -1618.516 60.4068 60.4068
11 12 -5.5850677 0.0 -11.1835 10.8546 -37.9315 225.358 -1887.31 225.339 -1917.21 0.0 225.339 -1917.21 84.6389 -11.1835 -1618.4155 60.4247 60.4247
11 13 -5.5850677 0.0 -11.1835 10.8546 -37.9315 225.358 -1887.31 225.339 -1917.21 0.0 225.339 -1917.21 84.6389 -11.1835 -1618.4155 60.4247 60.4247
11 14 -5.5850677 0.0 -11.1835 10.8546 -37.9315 225.358 -1887.31 225.339 -1917.21 0.0 225.339 -1917.21 84.6389 -11.1835 -1618.4155 60.4247 60.4247
11 15 -5.5850677 0.0 -11.1835 10.8546 -37.9315 225.358 -1887.31 225.339 -1917.21 0.0 225.339 -1917.21 84.6389 -11.1835 -1618.4155 60.4247 60.4247
12 0 -7.0110955 0.0 -45.957 10.8046 -36.4061 225.358 -1887.31 225.312 -1885.27 0.0 225.312 -1885.27 81.4322 -45.957 -1624.4828 56.8242 56.8242
12 1 -7.0110955 0.0 -45.957 10.8046 -36.4061 225.358 -1887.31 225.312 -1885.27 0.0 225.312 -1885.27 81.4322 -45.957 -1624.4828 56.8242 56.8242
12 2 -6.881556 0.0 -42.1042 10.8052 -36.5779 225.358 -1887.31 225.144 -1889.02 0.0 225.144 -1889.02 81.7603 -42.1042 -1624.2198 56.9945 56.9945
