Entry	Taxonomic lineage IDs	Gene names
P98177	9606	FOXO4 AFX AFX1 MLLT7
Q9WVH3	10090	Foxo4 Afx Afx1 Fkhr3 Mllt7
Q8BUR3	10090	Foxj3 Kiaa1041
P21462	9606	FPR1
P0DM40	10090	Fer1l5
O75474	9606	FRAT2
Q8K025	10090	Frat2
Q16595	9606	FXN FRDA X25
P14324	9606	FDPS FPS KIAA1293
Q9WV91	10090	Ptgfrn Fprp
Q62786	10116	Ptgfrn Fprp
A4FUQ5	10090	Fpr-rs4
O00409	9606	FOXN3 C14orf116 CHES1
Q499D0	10090	Foxn3 Ches1
P39748	9606	FEN1 RAD2
P02773	10116	Afp
Q76JU9	10090	Ffar1 Gpr40
Q9QX79	10116	Fetub
Q76EI6	10116	Ffar2 Gpr43
Q8QZW2	10090	Fev Pet1
O70132	10116	Fev Pet1
Q9JJN1	10090	Fgf21
Q9HCT0	9606	FGF22 UNQ2500/PRO5800
P61328	9606	FGF12 FGF12B FHF1
Q920H8	10116	Heph
O70514	10090	Fgfbp1
Q9QY10	10116	Fgfbp1
Q6ZNL6	9606	FGD5 ZFYVE23
O35453	10090	Hpn
P63075	10090	Fgf17
O76093	9606	FGF18 UNQ420/PRO856
P14234	10090	Fgr
Q6P6U0	10116	Fgr
O95750	9606	FGF19 UNQ334/PRO533
P12034	9606	FGF5
P15656	10090	Fgf5 Fgf-5
Q9Y613	9606	FHOD1 FHOS FHOS1
P21803	10090	Fgfr2 Bek Ect1
P05230	9606	FGF1 FGFA
Q91WF7	10090	Fig4 Kiaa0274 Sac3
Q9NP95	9606	FGF20
Q03142	10090	Fgfr4 Fgfr-4 Mpk-11
O55208	10090	Figla
Q498D6	10116	Fgfr4
O70433	10090	Fhl2
O35115	10116	Fhl2 Dral Slim3
Q9UBX0	9606	HESX1 HANF
P11276	10090	Fn1
P04937	10116	Fn1
Q5U317	10116	Fip1l1
Q96AY3	9606	FKBP10 FKBP65 PSEC0056
Q9QVC8	10116	Fkbp4 Fkbp52
P68106	9606	FKBP1B FKBP12.6 FKBP1L FKBP9 OTK4
Q9Z247	10090	Fkbp9 Fkbp60 Fkbp63
Q9UIM3	9606	FKBPL DIR1 NG7
O35450	10090	Fkbpl Ng7
Q76JQ2	10116	Flcn Bhd
Q01543	9606	FLI1
Q9JJ28	10090	Flii Fli1 Fliih
B3EWG5	9606	FAM25C
Q7TSA3	10090	Btla
P41223	9606	BUD31 EDG2
P15538	9606	CYP11B1 S11BH
Q8R149	10090	Bud13
P11586	9606	MTHFD1 MTHFC MTHFD
P02746	9606	C1QB
P14106	10090	C1qb
P02747	9606	C1QC C1QG
Q02105	10090	C1qc C1qg
Q66HA5	10116	Cc2d1a
Q5T0F9	9606	CC2D1B KIAA1836
Q4ZJM9	10090	C1ql4 C1qtnf11 Ctrp11
Q91ZX1	10090	Cd209a Cire
Q9ET61	10116	Cd93 C1qr1 C1qrp
Q91ZW9	10090	Cd209c
Q9QXP7	10090	C1qtnf1 Zsig37
Q5XIG2	10116	C1qtnf1
Q9D8U4	10090	C1qtnf2 Crtp2
Q9ES30	10090	C1qtnf3 Cors26 Ctrp3
Q9BXJ3	9606	C1QTNF4 CTRP4
Q9BXI9	9606	C1QTNF6 CTRP6 UNQ581/PRO1151
Q8BGH7	10090	Cdc42se2
Q3T1I2	10116	C1qtnf6
Q9BXJ2	9606	C1QTNF7 CTRP7
Q8CG16	10090	C1ra C1r
Q06138	10090	Cab39 Mo25
Q9BV19	9606	C1orf50
Q5T5A4	9606	C1orf194
Q8N6N3	9606	C1orf52 BAG GM117
Q5VVS0	9606	C1orf140
Q5VUE5	9606	C1orf53
Q91ZS3	10116	Sdf4 Cab45
Q8VDY9	10090	Caap1 Caap
Q8NEQ5	9606	C1orf162
Q5SNV9	9606	C1orf167
A1L170	9606	C1orf226
Q9ESJ1	10090	Cables1 Cables
Q9BTV7	9606	CABLES2 C20orf150
Q8K3M5	10090	Cables2
Q9NX04	9606	C1orf109
O00555	9606	CACNA1A CACH4 CACN3 CACNL1A4
P54285	10090	Cacnb3 Cacnlb3
Q3ZCQ0	10116	
Q9NPB3	9606	CABP2
Q00975	9606	CACNA1B CACH5 CACNL1A5
P55285	9606	CDH6
Q86Y37	9606	CACUL1 C10orf46 CAC1
P55280	10116	Cdh6 Kcad
Q9BXU9	9606	CALN1 CABP8
Q8BM92	10090	Cdh7
Q01815	10090	Cacna1c Cach2 Cacn2 Cacnl1a1 Cchl1a1
P55286	9606	CDH8
Q86UP0	9606	CDH24 CDH11L UNQ2834/PRO34009
P43155	9606	CRAT CAT1
Q5T440	9606	IBA57 C1orf69
Q66HB6	10116	Cage1 Ctag3
Q99246	10090	Cacna1d Cach3 Cacn4 Cacnl1a2 Cchl1a2
O75493	9606	CA11 CARP2 UNQ211/PRO237
O43570	9606	CA12
Q07652	10116	Cacna1e Cach6 Cacnl1a6
P22748	9606	CA4
Q9WTR5	10090	Cdh13
P43165	10116	Ca5a Ca5
P23280	9606	CA6
Q8VHB5	10090	Ca9 Car9
Q02789	10090	Cacna1s Cach1 Cach1b Cacn1 Cacnl1a3
Q5RJQ8	10116	Calhm2 Fam26b
Q8TD86	9606	CALML6 CAGLP CALGP
Q96L12	9606	CALR3 CRT2
Q9D9Q6	10090	Calr3 Crt2
Q99JA0	10090	Calca Calc
P0DP23	9606	CALM1 CALM CAM CAM1
Q63118	10116	Calcrl Cgrpr
P28470	10116	Ppp3r2 Cblp
Q01518	9606	CAP1 CAP
P49069	9606	CAMLG CAML
A2AHC3	10090	Camsap1
Q9ES66	10116	Capn10
Q9H257	9606	CARD9
P49192	10116	Cartpt Cart
Q6P2L7	10090	Casc4
P18088	10116	Gad1 Gad67
P55215	10116	Casp2 Ich1
P48320	10090	Gad2 Gad65
P55212	9606	CASP6 MCH2
P07858	9606	CTSB CPSB
P10605	10090	Ctsb
Q91ZF2	10090	Cts7 Cts1 Epcs24
P28293	10090	Ctsg
P17977	10116	Ctsg
P00787	10116	Ctsb
Q13166	9606	CATR1
B9EKE5	10090	Catip Gm216
Q92851	9606	CASP10 MCH4
Q9BXY5	9606	CAPS2 UG0636c06
O35186	10116	Ctsk
Q8N5S3	9606	C2orf73
B2GUZ5	10116	Capza1
P07711	9606	CTSL CTSL1
P51637	10090	Cav3
P85125	10116	Cavin1 Ptrf
Q9Y646	9606	CPQ LCH1 PGCP
Q9WVJ3	10090	Cpq Hls2 Pgcp
Q9ULV8	9606	CBLC CBL3 RNF57
Q9EQV9	10116	Cpb2
Q8BGK9	10090	
Q8N5N4	9606	C3orf22
Q96M34	9606	C3orf30
O08839	10116	Bin1 Amph2 Amphl
Q9C0J9	9606	BHLHE41 BHLHB3 DEC2 SHARP1
O35779	10116	Bhlhb3 Sharp1
Q68FW8	10116	Bin3
Q71HP2	10116	Bhlhb9
Q02318	9606	CYP27A1 CYP27
O35132	10116	Cyp27b1 Cyp27b
A1A5D9	9606	BICDL2 BICDR2 CCDC64B
Q8CHW5	10090	Bicdl2 Bicdr2 Ccdc64b
Q13490	9606	BIRC2 API1 MIHB RNF48
Q62210	10090	Birc2
O08863	10090	Birc3
Q5H9B9	9606	BMP2KL
P35226	9606	BMI1 PCGF4 RNF51
P16277	10090	Blk
P36898	10090	Bmpr1b Acvrlk6
Q9D8S9	10090	Bola1
P49001	10116	Bmp2 Bmp-2
Q9Z2F7	10090	Bnip3l Nix
Q80ZU7	10090	Bpifb3 Lplunc3 Rya3
Q562C2	10116	Bop1
P17213	9606	BPI
