Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
12 2 -7.585232 0.0 -35.7026 7.60246 -11.8046 225.358 -1887.31 222.737 -1886.87 0.0 222.737 -1886.87 29.0206 -35.7026 -1670.815 11.458 11.458
12 3 -7.585232 0.0 -35.7026 7.60246 -11.8046 225.358 -1887.31 222.737 -1886.87 0.0 222.737 -1886.87 29.0206 -35.7026 -1670.815 11.458 11.458
12 4 -7.585232 0.0 -35.7026 7.60246 -11.8046 225.358 -1887.31 222.737 -1886.87 0.0 222.737 -1886.87 29.0206 -35.7026 -1670.815 11.458 11.458
12 5 -7.585232 0.0 -35.7026 7.60246 -11.8046 225.358 -1887.31 222.737 -1886.87 0.0 222.737 -1886.87 29.0206 -35.7026 -1670.815 11.458 11.458
12 6 -7.5360446 0.0 -35.5905 7.59657 -11.7829 225.358 -1887.31 222.726 -1886.21 0.0 222.726 -1886.21 28.8752 -35.5905 -1670.1993 11.5165 11.5165
12 7 -7.5360446 0.0 -35.5905 7.59657 -11.7829 225.358 -1887.31 222.726 -1886.21 0.0 222.726 -1886.21 28.8752 -35.5905 -1670.1993 11.5165 11.5165
13 0 -7.6183615 0.0 -41.3195 7.26153 -11.4734 225.358 -1887.31 223.976 -1880.84 0.0 223.976 -1880.84 27.4226 -41.3195 -1670.7609 14.0982 14.0982
13 1 -7.8207254 0.0 -42.8334 7.65882 -11.2614 225.358 -1887.31 223.083 -1879.6 0.0 223.083 -1879.6 30.494 -42.8334 -1668.8563 12.9844 12.9844
13 2 -7.7873344 0.0 -45.853 7.2717 -12.4841 225.358 -1887.31 223.259 -1876.48 0.0 223.259 -1876.48 30.5206 -45.853 -1668.5533 14.5624 14.5624
13 3 -7.800844 0.0 -45.8256 7.28256 -12.468 225.358 -1887.31 223.33 -1876.82 0.0 223.33 -1876.82 30.7668 -45.8256 -1668.5488 14.456 14.456
13 4 -7.7380404 0.0 -45.1653 7.25986 -12.474 225.358 -1887.31 223.307 -1876.82 0.0 223.307 -1876.82 30.5608 -45.1653 -1668.1174 14.6407 14.6407
13 5 -8.016358 0.0 -47.9924 7.72961 -11.9291 225.358 -1887.31 223.361 -1875.81 0.0 223.361 -1875.81 34.7397 -47.9924 -1665.7018 18.6923 18.6923
14 0 -7.3468165 0.0 -34.7143 7.58039 -12.9595 225.358 -1887.31 223.765 -1887.28 0.0 223.765 -1887.28 27.6047 -34.7143 -1670.6246 12.8951 12.8951
14 1 -7.3192706 0.0 -33.8436 7.60334 -12.9429 225.358 -1887.31 223.672 -1887.98 0.0 223.672 -1887.98 27.6304 -33.8436 -1670.5212 12.936 12.936
14 2 -7.210289 0.0 -31.0844 7.47979 -12.7952 225.358 -1887.31 223.156 -1889.71 0.0 223.156 -1889.71 28.5707 -31.0844 -1669.0676 14.8259 14.8259
14 3 -7.3489566 0.0 -37.286 7.53415 -11.4856 225.358 -1887.31 223.385 -1881.35 0.0 223.385 -1881.35 28.7854 -37.286 -1666.4656 16.7003 16.7003
14 4 -7.349125 0.0 -37.5388 7.53831 -11.4859 225.358 -1887.31 223.433 -1881.03 0.0 223.433 -1881.03 28.8213 -37.5388 -1666.3146 16.7733 16.7733
15 0 -7.8714304 0.0 -45.5564 7.64763 -11.325 225.358 -1887.31 223.982 -1877.69 0.0 223.982 -1877.69 28.9887 -45.5564 -1670.2756 13.8045 13.8045
15 1 -7.3429074 0.0 -36.3987 7.65104 -10.8316 225.358 -1887.31 223.561 -1882.06 0.0 223.561 -1882.06 38.7479 -36.3987 -1656.1498 29.947 29.947
15 2 -7.306581 0.0 -35.9737 7.70961 -10.9121 225.358 -1887.31 223.727 -1882.37 0.0 223.727 -1882.37 40.6661 -35.9737 -1653.9506 31.4653 31.4653
16 0 -7.7951555 0.0 -45.498 7.41041 -12.3566 225.358 -1887.31 222.622 -1875.83 0.0 222.622 -1875.83 28.6139 -45.498 -1670.0922 8.67372 8.67372
16 1 -7.7987194 0.0 -45.6908 7.4261 -12.3202 225.358 -1887.31 222.577 -1875.46 0.0 222.577 -1875.46 28.6918 -45.6908 -1669.882 8.51082 8.51082
16 2 -7.5635586 0.0 -43.6031 7.41277 -12.2551 225.358 -1887.31 222.357 -1874.46 0.0 222.357 -1874.46 28.4317 -43.6031 -1667.2744 8.90015 8.90015
16 3 -6.915165 0.0 -34.4566 7.27841 -11.6393 225.358 -1887.31 222.347 -1877.58 0.0 222.347 -1877.58 33.4334 -34.4566 -1656.2561 20.8568 20.8568
16 4 -6.9466615 0.0 -35.5601 7.3037 -11.9039 225.358 -1887.31 222.48 -1876.82 0.0 222.48 -1876.82 38.5197 -35.5601 -1651.3804 24.7615 24.7615
16 5 -6.9466615 0.0 -35.5601 7.3037 -11.9039 225.358 -1887.31 222.48 -1876.82 0.0 222.48 -1876.82 38.5197 -35.5601 -1651.3804 24.7615 24.7615
16 6 -6.9466615 0.0 -35.5601 7.3037 -11.9039 225.358 -1887.31 222.48 -1876.82 0.0 222.48 -1876.82 38.5197 -35.5601 -1651.3804 24.7615 24.7615
16 7 -6.968845 0.0 -35.7929 7.32578 -11.9485 225.358 -1887.31 222.478 -1876.83 0.0 222.478 -1876.83 39.2792 -35.7929 -1650.8656 25.162 25.162
