From src:'1'	To src:'3'
CHEMBL460491	ITD
CHEMBL3962733	70L
CHEMBL298827	TIO
CHEMBL510924	YC2
CHEMBL3360305	990
CHEMBL488025	SLO
CHEMBL3217973	46B
CHEMBL3809012	45Q
CHEMBL273386	DNF
CHEMBL574699	BR8
CHEMBL19880	YCN
CHEMBL3120360	2T2
CHEMBL565612	LW4
CHEMBL1448105	0F1
CHEMBL2170177	GKW
CHEMBL187810	6DX
CHEMBL3414926	44X
CHEMBL3968104	BVY
CHEMBL3814662	6DW
CHEMBL3353348	631
CHEMBL266800	W35
CHEMBL1894621	3G8
CHEMBL1236441	TTR
CHEMBL986	RTL
CHEMBL1615292	XFN
CHEMBL56973	XIX
CHEMBL557341	PP8
CHEMBL236593	N7R
CHEMBL3084958	VD2
CHEMBL123850	BEJ
CHEMBL1200374	EXM
CHEMBL568632	4CD
CHEMBL1230661	997
CHEMBL1456301	9KS
CHEMBL3338060	3LZ
CHEMBL380500	VAR
CHEMBL213490	B08
CHEMBL222252	QUL
CHEMBL303004	16D
CHEMBL489657	DZ1
CHEMBL195989	RBL
CHEMBL1614877	CBK
CHEMBL166863	949
CHEMBL3736183	4ZJ
CHEMBL3616847	52Q
CHEMBL300891	JE2
CHEMBL3613795	0N4
CHEMBL325606	03K
CHEMBL123260	CC8
CHEMBL300982	LCF
CHEMBL56279	CNN
CHEMBL3931161	79U
CHEMBL1269246	T5E
CHEMBL69098	ES9
CHEMBL3586662	S84
CHEMBL376632	228
CHEMBL1234914	OAP
CHEMBL401274	HK1
CHEMBL1173055	RPB
CHEMBL3990285	W87
CHEMBL428647	TA1
CHEMBL2252422	5BQ
CHEMBL3896367	5F8
CHEMBL1383671	4SV
CHEMBL1230331	4SU
CHEMBL1081559	B87
CHEMBL2219858	UBT
CHEMBL110830	XDN
CHEMBL21241	2VN
CHEMBL3358196	513
CHEMBL3785312	5X2
CHEMBL1818127	Q26
CHEMBL402134	WSD
CHEMBL3774432	2VC
CHEMBL178398	JG1
CHEMBL3769729	31O
CHEMBL226396	6GU
CHEMBL242456	5NK
CHEMBL3813865	61Y
CHEMBL2448885	4R1
CHEMBL425949	1TR
CHEMBL3643413	9NQ
CHEMBL371463	36J
CHEMBL378160	SP0
CHEMBL154947	7FL
CHEMBL426815	LO1
CHEMBL3126198	2SF
CHEMBL3623902	G0W
CHEMBL1232887	G11
CHEMBL3695811	3K2
CHEMBL409038	VX1
CHEMBL3323549	3YI
CHEMBL2396661	1LT
CHEMBL3977994	7B0
CHEMBL449325	5OB
CHEMBL591696	X2L
CHEMBL471144	LMS
CHEMBL551717	I39
CHEMBL45005	OXE
CHEMBL269264	BI8
CHEMBL2158581	2N6
CHEMBL2171449	0VP
CHEMBL1235246	PFS
CHEMBL3608591	4VF
CHEMBL1559535	3WC
CHEMBL1236892	YBY
CHEMBL3805841	QNZ
CHEMBL197474	TN3
CHEMBL2443204	E1E
CHEMBL284362	IS2
CHEMBL2325905	19R
CHEMBL428690	CPB
CHEMBL1230492	6GP
CHEMBL2448348	3Q7
CHEMBL2425111	K8A
CHEMBL43068	VAL
CHEMBL1236782	XBJ
CHEMBL2382334	33M
CHEMBL2177758	BP0
CHEMBL2001019	KRW
CHEMBL416006	2JK
CHEMBL372227	STC
CHEMBL3753020	OTM
CHEMBL477307	4BO
CHEMBL518303	17R
CHEMBL20945	NPB
CHEMBL2325503	1AK
CHEMBL3337531	3HY
CHEMBL3414626	EP6
CHEMBL2377844	X3A
CHEMBL1233278	HED
CHEMBL1230191	3PO
CHEMBL198075	3K8
CHEMBL454912	IM7
CHEMBL374361	DUT
CHEMBL1614790	439
CHEMBL357804	7W9
CHEMBL1235556	Q74
CHEMBL3794532	68D
CHEMBL1234470	MS0
CHEMBL29757	DAS
CHEMBL3263480	RRA
CHEMBL3593494	EJD
CHEMBL3799875	4ZO
CHEMBL3752492	8IR
CHEMBL558552	09N
CHEMBL208239	2D9
CHEMBL559973	FTR
CHEMBL480328	CH1
CHEMBL15844	IND
CHEMBL1214599	TDC
CHEMBL2348358	DS4
CHEMBL3629009	50E
CHEMBL594707	6AI
CHEMBL3770256	N5J
CHEMBL55	PNT
CHEMBL41172	3CH
CHEMBL566271	DX3
CHEMBL1233845	KGQ
CHEMBL2333400	VD9
CHEMBL2086791	0QX
CHEMBL1229721	1CS
CHEMBL282837	CDD
CHEMBL1188378	NNW
CHEMBL409102	2XA
CHEMBL3808935	33S
CHEMBL3359763	3LL
CHEMBL273453	AS4
CHEMBL221181	422
CHEMBL2289232	3J8
CHEMBL183906	0FS
CHEMBL1305397	7IA
